customer_id,package_type,open_status,service_type,phone_service,tenure_months,monthly_charges
8627-ZYGSZ,一年合约,在网,光纤,已开通电话,47,78.9
3410-YOQBQ,两年合约,在网,宽带 DSL,已开通电话,31,79.2
3170-NMYVV,两年合约,在网,未开通互联网,已开通电话,50,20.15
7410-OIEDU,月付套餐,在网,光纤,已开通电话,10,79.85
2273-QCKXA,月付套餐,在网,宽带 DSL,已开通电话,1,49.05
0731-EBJQB,一年合约,在网,未开通互联网,已开通电话,52,20.4
1891-QRQSA,两年合约,在网,光纤,已开通电话,64,111.6
8028-PNXHQ,两年合约,在网,未开通互联网,已开通电话,62,24.25
5630-AHZIL,月付套餐,在网,宽带 DSL,已开通电话,3,64.5
2673-CXQEU,一年合约,在网,光纤,已开通电话,56,110.5
6416-JNVRK,一年合约,在网,宽带 DSL,已开通电话,46,55.65
5590-ZSKRV,月付套餐,在网,宽带 DSL,已开通电话,8,54.65
0191-ZHSKZ,月付套餐,在网,宽带 DSL,已开通电话,30,74.75
3887-PBQAO,一年合约,在网,未开通互联网,已开通电话,45,25.9
5919-TMRGD,月付套餐,已流失,光纤,已开通电话,1,79.35
8108-UXRQN,月付套餐,在网,宽带 DSL,未开通电话,11,50.55
9191-MYQKX,月付套餐,已流失,光纤,已开通电话,7,75.15
9919-YLNNG,月付套餐,在网,光纤,已开通电话,42,103.8
0318-ZOPWS,两年合约,在网,未开通互联网,已开通电话,49,20.15
4445-ZJNMU,月付套餐,在网,光纤,已开通电话,9,99.3
4808-YNLEU,一年合约,在网,宽带 DSL,已开通电话,35,62.15
1862-QRWPE,两年合约,在网,未开通互联网,已开通电话,48,20.65
2796-NNUFI,两年合约,在网,未开通互联网,已开通电话,46,19.95
3016-KSVCP,月付套餐,在网,宽带 DSL,未开通电话,29,33.75
4767-HZZHQ,月付套餐,在网,光纤,已开通电话,30,82.05
2424-WVHPL,月付套餐,在网,光纤,已开通电话,1,74.7
7233-PAHHL,两年合约,在网,宽带 DSL,已开通电话,66,84
6067-NGCEU,月付套餐,在网,光纤,已开通电话,65,111.05
9848-JQJTX,两年合约,在网,光纤,已开通电话,72,100.9
8637-XJIVR,月付套餐,已流失,光纤,已开通电话,12,78.95
9803-FTJCG,一年合约,在网,宽带 DSL,已开通电话,71,66.85
0278-YXOOG,月付套餐,已流失,未开通互联网,已开通电话,5,21.05
3212-KXOCR,两年合约,在网,未开通互联网,已开通电话,52,21
4598-XLKNJ,月付套餐,已流失,光纤,已开通电话,25,98.5
6380-ARCEH,月付套餐,在网,未开通互联网,已开通电话,1,20.2
3679-XASPY,月付套餐,在网,未开通互联网,已开通电话,1,19.45
7123-WQUHX,一年合约,在网,光纤,已开通电话,38,95
5386-THSLQ,一年合约,在网,宽带 DSL,未开通电话,66,45.55
3192-NQECA,两年合约,已流失,光纤,已开通电话,68,110
6180-YBIQI,月付套餐,在网,宽带 DSL,未开通电话,5,24.3
6728-DKUCO,一年合约,在网,光纤,已开通电话,72,104.15
9750-BOOHV,一年合约,在网,宽带 DSL,未开通电话,32,30.15
8597-CWYHH,一年合约,在网,光纤,已开通电话,43,94.35
2848-YXSMW,两年合约,在网,未开通互联网,已开通电话,72,19.4
0486-HECZI,月付套餐,已流失,光纤,已开通电话,55,96.75
4549-ZDQYY,一年合约,在网,宽带 DSL,已开通电话,52,57.95
5712-AHQNN,月付套餐,在网,光纤,已开通电话,43,91.65
4846-WHAFZ,月付套餐,已流失,光纤,已开通电话,37,76.5
5256-SKJGO,两年合约,在网,宽带 DSL,未开通电话,64,54.6
3071-VBYPO,月付套餐,在网,光纤,已开通电话,3,89.85
9560-BBZXK,两年合约,在网,宽带 DSL,未开通电话,36,31.05
5299-RULOA,月付套餐,已流失,光纤,已开通电话,10,100.25
8402-OOOHJ,两年合约,在网,未开通互联网,已开通电话,41,20.65
9445-ZUEQE,月付套餐,在网,光纤,已开通电话,27,85.2
1091-SOZGA,一年合约,在网,光纤,已开通电话,56,99.8
2928-HLDBA,月付套餐,在网,未开通互联网,已开通电话,6,20.7
0404-SWRVG,月付套餐,已流失,光纤,已开通电话,3,74.4
6497-TILVL,月付套餐,在网,宽带 DSL,已开通电话,7,50.7
7219-TLZHO,月付套餐,在网,未开通互联网,已开通电话,4,20.85
4622-YNKIJ,两年合约,在网,光纤,已开通电话,33,88.95
4412-YLTKF,月付套餐,已流失,光纤,已开通电话,27,78.05
6734-PSBAW,两年合约,在网,未开通互联网,已开通电话,72,23.55
3930-ZGWVE,月付套餐,在网,未开通互联网,已开通电话,1,19.75
2639-UGMAZ,一年合约,在网,宽带 DSL,未开通电话,71,56.45
2876-GZYZC,月付套餐,在网,光纤,已开通电话,13,85.95
6207-WIOLX,月付套餐,已流失,宽带 DSL,未开通电话,25,58.6
8587-XYZSF,两年合约,在网,宽带 DSL,已开通电话,67,50.55
3091-FYHKI,月付套餐,已流失,宽带 DSL,未开通电话,1,35.45
2372-HWUHI,月付套餐,已流失,宽带 DSL,已开通电话,2,44.35
7799-LGRDP,两年合约,在网,未开通互联网,已开通电话,43,25.7
7850-VWJUU,月付套餐,在网,光纤,已开通电话,23,75
3774-VBNXY,两年合约,在网,未开通互联网,已开通电话,64,20.2
6217-KDYWC,两年合约,在网,未开通互联网,已开通电话,57,19.6
0390-DCFDQ,月付套餐,已流失,光纤,已开通电话,1,70.45
3146-MSEGF,两年合约,在网,宽带 DSL,已开通电话,72,88.05
4080-OGPJL,月付套餐,已流失,宽带 DSL,已开通电话,8,71.15
1095-WGNGG,两年合约,在网,光纤,已开通电话,61,101.05
2636-SJDOU,一年合约,在网,光纤,已开通电话,64,84.3
1131-QQZEB,两年合约,在网,未开通互联网,已开通电话,71,23.95
5716-EZXZN,两年合约,在网,光纤,已开通电话,65,99.05
6837-BJYDQ,一年合约,在网,未开通互联网,已开通电话,3,19.6
2135-RXIHG,月付套餐,已流失,宽带 DSL,已开通电话,1,45.65
6440-DKQGE,一年合约,在网,宽带 DSL,已开通电话,30,64.5
3466-BYAVD,月付套餐,在网,宽带 DSL,已开通电话,15,69.5
3780-YVMFA,月付套餐,在网,宽带 DSL,已开通电话,8,68.55
3874-EQOEP,月付套餐,已流失,光纤,已开通电话,7,95
1679-JRFBR,一年合约,在网,光纤,已开通电话,70,108.15
9073-ZZIAY,两年合约,在网,宽带 DSL,已开通电话,62,86.1
3077-RSNTJ,月付套餐,在网,未开通互联网,已开通电话,6,19.7
6551-GNYDG,月付套餐,在网,光纤,已开通电话,14,80.9
9167-APMXZ,月付套餐,在网,光纤,已开通电话,22,84.15
2749-CTKAJ,一年合约,在网,未开通互联网,已开通电话,22,20.15
6371-NZYEG,两年合约,在网,宽带 DSL,已开通电话,16,64.25
7554-NEWDD,两年合约,在网,未开通互联网,已开通电话,10,25.7
8992-VONJD,月付套餐,在网,宽带 DSL,已开通电话,13,56
0867-MKZVY,月付套餐,已流失,光纤,已开通电话,20,82.4
4482-EWFMI,月付套餐,在网,光纤,已开通电话,2,69.7
4648-YPBTM,两年合约,在网,宽带 DSL,已开通电话,53,73.9
2907-ILJBN,一年合约,在网,未开通互联网,已开通电话,11,20.6
6345-FZOQH,两年合约,在网,未开通互联网,已开通电话,69,19.9
3376-BMGFE,月付套餐,已流失,光纤,已开通电话,4,70.9
5997-OPVFA,两年合约,在网,宽带 DSL,已开通电话,72,89.05
3445-HXXGF,月付套餐,已流失,宽带 DSL,未开通电话,58,45.3
1159-WFSGR,月付套餐,在网,未开通互联网,已开通电话,16,20.4
7654-YWJUF,一年合约,在网,光纤,已开通电话,43,84.25
1875-QIVME,月付套餐,已流失,光纤,已开通电话,2,104.4
6727-IOTLZ,两年合约,在网,宽带 DSL,已开通电话,14,81.95
0691-JVSYA,一年合约,已流失,光纤,已开通电话,53,94.85
5918-VUKWP,一年合约,在网,未开通互联网,已开通电话,32,20.55
1744-JHKYS,月付套餐,在网,未开通互联网,已开通电话,34,24.7
2656-FMOKZ,月付套餐,已流失,光纤,已开通电话,15,74.45
2070-FNEXE,月付套餐,已流失,光纤,已开通电话,7,76.45
5947-SGKCL,月付套餐,在网,光纤,已开通电话,15,105.35
3712-PKXZA,一年合约,在网,未开通互联网,已开通电话,61,20.55
6317-YPKDH,月付套餐,已流失,宽带 DSL,未开通电话,1,29.95
6582-OIVSP,月付套餐,在网,宽带 DSL,已开通电话,1,45.3
9367-WXLCH,月付套餐,已流失,光纤,已开通电话,8,84.5
5524-KHNJP,一年合约,在网,宽带 DSL,已开通电话,33,74.75
1918-ZBFQJ,月付套餐,已流失,光纤,已开通电话,13,79.25
1024-GUALD,月付套餐,已流失,宽带 DSL,未开通电话,1,24.8
4827-USJHP,月付套餐,在网,宽带 DSL,已开通电话,20,51.8
8167-GJLRN,月付套餐,在网,宽带 DSL,未开通电话,3,30.4
0956-SYCWG,一年合约,在网,未开通互联网,已开通电话,13,19.65
8017-UVSZU,月付套餐,在网,宽带 DSL,已开通电话,40,56.6
7100-FQPRV,一年合约,在网,宽带 DSL,已开通电话,43,71.9
2472-OVKUP,月付套餐,已流失,光纤,已开通电话,6,91
2984-RGEYA,两年合约,在网,未开通互联网,已开通电话,69,19.75
9680-NIAUV,两年合约,在网,光纤,已开通电话,72,109.7
2146-EGVDT,两年合约,在网,未开通互联网,已开通电话,59,19.3
2604-IJPDU,月付套餐,在网,光纤,已开通电话,20,96.55
9178-JHUVJ,两年合约,在网,未开通互联网,已开通电话,24,24.1
6168-YBYNP,月付套餐,在网,光纤,已开通电话,59,111.35
7255-SSFBC,两年合约,在网,光纤,已开通电话,72,112.25
3645-DEYGF,月付套餐,在网,未开通互联网,已开通电话,1,20.75
9323-HGFWY,一年合约,在网,光纤,已开通电话,27,101.9
8544-GOQSH,月付套餐,在网,光纤,已开通电话,14,80.05
3363-DTIVD,两年合约,在网,光纤,已开通电话,71,105.55
7018-WBJNK,月付套餐,在网,光纤,已开通电话,13,78.3
9142-KZXOP,月付套餐,在网,光纤,已开通电话,44,68.85
7674-YTAFD,一年合约,在网,光纤,已开通电话,33,79.95
6348-SNFUS,两年合约,在网,宽带 DSL,未开通电话,72,55.45
1285-OKIPP,月付套餐,已流失,光纤,已开通电话,1,79.9
7825-ECJRF,月付套餐,已流失,光纤,已开通电话,19,106.6
1347-KTTTA,一年合约,在网,光纤,已开通电话,64,102.45
7841-TZDMQ,月付套餐,已流失,宽带 DSL,已开通电话,2,46
4195-NZGTA,月付套餐,在网,宽带 DSL,未开通电话,1,25.25
7157-SMCFK,两年合约,在网,未开通互联网,已开通电话,61,19.75
4709-LKHYG,一年合约,在网,未开通互联网,已开通电话,29,20
2504-DSHIH,月付套餐,在网,光纤,已开通电话,23,86.8
0699-NDKJM,月付套餐,在网,宽带 DSL,未开通电话,57,58.75
9286-BHDQG,两年合约,在网,宽带 DSL,未开通电话,72,45.25
0230-WEQUW,两年合约,在网,宽带 DSL,未开通电话,66,56.6
2040-LDIWQ,两年合约,在网,宽带 DSL,已开通电话,65,84.2
6496-JDSSB,月付套餐,在网,光纤,已开通电话,8,80
9408-SSNVZ,月付套餐,已流失,光纤,已开通电话,4,70.15
4443-EMBNA,两年合约,在网,未开通互联网,已开通电话,71,24.75
6469-MRVET,一年合约,在网,未开通互联网,已开通电话,1,20.2
0742-MOABM,月付套餐,已流失,宽带 DSL,已开通电话,4,50.05
5961-VUSRV,一年合约,在网,未开通互联网,已开通电话,12,19.35
6778-JFCMK,一年合约,在网,宽带 DSL,未开通电话,24,50.6
6341-JVQGF,一年合约,在网,宽带 DSL,已开通电话,31,81.15
2232-DMLXU,月付套餐,已流失,宽带 DSL,已开通电话,1,55.2
4811-JBUVU,月付套餐,在网,光纤,已开通电话,30,89.9
0945-TSONX,两年合约,在网,宽带 DSL,已开通电话,47,85.3
2651-ZCBXV,两年合约,在网,光纤,已开通电话,54,108
3316-UWXUY,月付套餐,在网,光纤,已开通电话,50,93.5
8937-RDTHP,月付套餐,已流失,光纤,已开通电话,1,84.6
7083-MIOPC,两年合约,在网,未开通互联网,已开通电话,72,20.25
1984-GPTEH,月付套餐,在网,未开通互联网,已开通电话,29,25.15
1251-KRREG,月付套餐,已流失,宽带 DSL,已开通电话,2,54.4
0621-JFHOL,两年合约,在网,宽带 DSL,未开通电话,10,29.6
9903-LYSAB,月付套餐,在网,光纤,已开通电话,18,73.15
0094-OIFMO,月付套餐,已流失,光纤,已开通电话,11,95
9227-UAQFT,两年合约,在网,未开通互联网,已开通电话,16,19.75
7301-ABVAD,两年合约,在网,宽带 DSL,已开通电话,72,86.6
6614-FHDBO,两年合约,在网,光纤,已开通电话,72,109.2
7576-ASEJU,一年合约,在网,宽带 DSL,已开通电话,41,74.7
9058-HRZSV,月付套餐,在网,光纤,已开通电话,65,94.4
4522-AKYLR,月付套餐,在网,宽带 DSL,已开通电话,13,54.8
0221-WMXNQ,月付套餐,在网,光纤,已开通电话,4,75.35
0303-UNCIP,一年合约,在网,宽带 DSL,已开通电话,41,65
9947-OTFQU,月付套餐,已流失,光纤,已开通电话,15,74.4
0322-YINQP,月付套餐,已流失,宽带 DSL,已开通电话,1,48.55
0959-WHOKV,一年合约,在网,光纤,已开通电话,42,99
4075-JFPGR,一年合约,在网,光纤,已开通电话,51,93.5
4629-NRXKX,月付套餐,已流失,光纤,已开通电话,2,70.4
9514-JDSKI,月付套餐,已流失,宽带 DSL,未开通电话,1,40.2
3282-ZISZV,一年合约,在网,宽带 DSL,已开通电话,32,83.7
3675-YDUPJ,月付套餐,在网,未开通互联网,已开通电话,10,19.85
4111-BNXIF,两年合约,在网,宽带 DSL,未开通电话,67,59.55
7017-VFHAY,两年合约,在网,光纤,已开通电话,61,115.1
6655-LHBYW,一年合约,在网,光纤,已开通电话,50,114.35
4959-JOSRX,月付套餐,已流失,宽带 DSL,已开通电话,2,44.6
5046-NUHWD,月付套餐,在网,宽带 DSL,未开通电话,29,45
7273-TEFQD,月付套餐,已流失,宽带 DSL,未开通电话,3,41.15
3606-TWKGI,月付套餐,已流失,光纤,已开通电话,13,106.9
7529-ZDFXI,月付套餐,在网,光纤,已开通电话,57,89.85
7605-BDWDC,两年合约,在网,宽带 DSL,未开通电话,31,49.85
1950-KSVVJ,一年合约,在网,光纤,已开通电话,45,113.3
0123-CRBRT,两年合约,在网,宽带 DSL,已开通电话,61,88.1
6292-TOSSS,两年合约,在网,未开通互联网,已开通电话,50,24.9
3197-ARFOY,月付套餐,在网,光纤,已开通电话,19,105
6323-AYBRX,两年合约,已流失,未开通互联网,已开通电话,59,19.35
7014-ZZXAW,两年合约,在网,未开通互联网,已开通电话,71,24.25
4385-GZQXV,月付套餐,已流失,光纤,已开通电话,16,94.45
7633-MVPUY,两年合约,在网,宽带 DSL,已开通电话,57,59.75
6366-ZGQGL,月付套餐,已流失,宽带 DSL,未开通电话,1,24.8
4716-HHKQH,月付套餐,在网,光纤,已开通电话,20,107.05
5940-AHUHD,月付套餐,已流失,光纤,已开通电话,1,70.6
6432-TWQLB,月付套餐,已流失,光纤,已开通电话,5,85.4
4484-GLZOU,月付套餐,已流失,光纤,已开通电话,52,105.05
3179-GBRWV,月付套餐,在网,宽带 DSL,已开通电话,21,64.95
8645-KWHJO,月付套餐,在网,宽带 DSL,未开通电话,14,55
4130-MZLCC,月付套餐,在网,宽带 DSL,已开通电话,5,50.55
0314-TKOSI,月付套餐,在网,宽带 DSL,已开通电话,6,55.15
8229-MYEJZ,月付套餐,在网,宽带 DSL,已开通电话,10,51.2
2080-SRCDE,月付套餐,在网,未开通互联网,已开通电话,1,25.4
9577-WJVCQ,月付套餐,在网,宽带 DSL,已开通电话,68,54.45
9512-UIBFX,月付套餐,已流失,光纤,已开通电话,18,95.15
6202-DYYFX,一年合约,在网,光纤,已开通电话,22,76
3808-HFKDE,月付套餐,在网,宽带 DSL,已开通电话,20,44.35
5583-SXDAG,月付套餐,已流失,光纤,已开通电话,1,70
3488-PGMQJ,月付套餐,已流失,光纤,已开通电话,8,74.5
3580-REOAC,月付套餐,已流失,宽带 DSL,已开通电话,10,44.85
7534-BFESC,月付套餐,已流失,光纤,已开通电话,24,76.1
3727-OWVYD,一年合约,在网,宽带 DSL,已开通电话,35,61.2
2294-SALNE,一年合约,在网,光纤,已开通电话,23,86.8
4847-TAJYI,月付套餐,在网,光纤,已开通电话,6,89.35
1563-IWQEX,月付套餐,在网,未开通互联网,已开通电话,12,19.7
8203-XJZRC,月付套餐,在网,未开通互联网,已开通电话,1,20.25
6556-DBKZF,两年合约,在网,光纤,已开通电话,71,76.05
6851-WEFYX,月付套餐,在网,光纤,已开通电话,35,100.8
2985-JUUBZ,月付套餐,在网,宽带 DSL,已开通电话,40,74.55
6390-DSAZX,月付套餐,已流失,光纤,已开通电话,1,73.6
0895-LMRSF,一年合约,在网,宽带 DSL,已开通电话,23,64.9
8098-LLAZX,月付套餐,已流失,光纤,已开通电话,4,95.45
8266-VBFQL,月付套餐,在网,光纤,已开通电话,4,90.4
8181-YHCMF,两年合约,在网,宽带 DSL,未开通电话,68,60.3
2240-HSJQD,月付套餐,在网,光纤,已开通电话,38,81.85
1248-DYXUB,两年合约,在网,未开通互联网,已开通电话,52,24.8
0265-EDXBD,月付套餐,已流失,光纤,已开通电话,32,74.9
4115-BNPJY,两年合约,在网,宽带 DSL,已开通电话,29,75.55
3167-SNQPL,月付套餐,在网,光纤,已开通电话,38,101.15
4091-TVOCN,一年合约,在网,宽带 DSL,已开通电话,48,78.75
1098-TDVUQ,月付套餐,在网,未开通互联网,已开通电话,1,19.25
7277-OZCGZ,月付套餐,在网,光纤,已开通电话,22,89.05
1557-EMYVT,两年合约,在网,光纤,已开通电话,43,115.05
2799-ARNLO,月付套餐,在网,光纤,已开通电话,5,69.35
7563-BIUPC,月付套餐,已流失,光纤,已开通电话,5,80.6
5027-YOCXN,一年合约,在网,光纤,已开通电话,51,110.05
3973-SKMLN,两年合约,在网,未开通互联网,已开通电话,71,19.9
2321-OMBXY,一年合约,已流失,宽带 DSL,已开通电话,38,80.3
2840-XANRC,月付套餐,已流失,光纤,已开通电话,24,93.15
6745-JEFZB,月付套餐,在网,光纤,已开通电话,35,91.5
5020-ZSTTY,一年合约,已流失,宽带 DSL,已开通电话,54,82.45
9880-TDQAC,两年合约,在网,宽带 DSL,未开通电话,72,60
8705-WZCYL,月付套餐,在网,宽带 DSL,已开通电话,1,44.8
7102-JJVTX,一年合约,在网,宽带 DSL,已开通电话,9,48.6
8626-PTQGE,两年合约,在网,宽带 DSL,未开通电话,69,60.05
4983-CLMLV,月付套餐,在网,光纤,已开通电话,52,102.7
5701-YVSVF,月付套餐,在网,光纤,已开通电话,11,82.9
5804-LEPIM,月付套餐,已流失,光纤,已开通电话,2,70.35
5697-GOMBF,月付套餐,在网,宽带 DSL,未开通电话,28,35.9
2739-CACDQ,月付套餐,在网,光纤,已开通电话,17,82.65
9385-EHGDO,两年合约,在网,未开通互联网,已开通电话,35,19.85
9498-FIMXL,一年合约,在网,未开通互联网,已开通电话,8,19.2
2379-GYFLQ,一年合约,在网,光纤,已开通电话,46,94.9
0122-OAHPZ,月付套餐,已流失,光纤,已开通电话,7,73.85
2868-SNELZ,月付套餐,已流失,光纤,已开通电话,2,80.6
4322-RCYMT,一年合约,已流失,宽带 DSL,已开通电话,68,75.8
6680-NENYN,两年合约,已流失,光纤,已开通电话,43,104.6
2088-IEBAU,两年合约,在网,宽带 DSL,已开通电话,68,88.15
7982-VCELR,月付套餐,在网,光纤,已开通电话,36,94.8
1343-EHPYB,月付套餐,已流失,光纤,已开通电话,63,103.4
6035-BXTTY,月付套餐,在网,宽带 DSL,已开通电话,32,54.65
6885-PKOAM,两年合约,在网,宽带 DSL,已开通电话,71,85.75
7520-HQWJU,月付套餐,在网,宽带 DSL,已开通电话,66,67.45
9639-BUJXT,一年合约,在网,未开通互联网,已开通电话,63,20.5
5924-SNGKP,一年合约,在网,未开通互联网,已开通电话,41,20.25
0021-IKXGC,月付套餐,在网,光纤,已开通电话,1,72.1
2034-GDRCN,月付套餐,已流失,光纤,已开通电话,2,90.4
8966-SNIZF,两年合约,在网,未开通互联网,已开通电话,70,19.45
6243-OZGFH,月付套餐,在网,宽带 DSL,未开通电话,23,44.95
4654-DLAMQ,一年合约,在网,光纤,已开通电话,64,97
0513-RBGPE,两年合约,在网,宽带 DSL,已开通电话,37,62.8
5160-UXJED,一年合约,在网,宽带 DSL,已开通电话,17,44.6
4115-NZRKS,月付套餐,在网,光纤,已开通电话,7,89.15
0219-YTZUE,月付套餐,已流失,光纤,已开通电话,4,84.8
0623-IIHUG,月付套餐,已流失,宽带 DSL,未开通电话,21,41.9
4572-DVCGN,月付套餐,已流失,光纤,已开通电话,10,80.25
3351-NGXYI,月付套餐,在网,宽带 DSL,已开通电话,16,54.1
8984-EYLLL,两年合约,在网,光纤,已开通电话,64,105.25
9057-MSWCO,月付套餐,已流失,宽带 DSL,未开通电话,27,30.75
9833-TGFHX,一年合约,在网,光纤,已开通电话,42,97.1
9294-TDIPC,月付套餐,在网,未开通互联网,已开通电话,5,20.2
5229-DTFYB,两年合约,在网,光纤,已开通电话,41,98.8
0104-PPXDV,一年合约,在网,宽带 DSL,已开通电话,58,50.3
5176-LMJXE,两年合约,在网,未开通互联网,已开通电话,47,20.55
3583-KRKMD,月付套餐,在网,光纤,已开通电话,18,75.9
1010-DIAUQ,月付套餐,已流失,光纤,已开通电话,5,96.5
9069-LGEUL,月付套餐,在网,宽带 DSL,已开通电话,23,59.95
7302-ZHMHP,月付套餐,在网,未开通互联网,已开通电话,1,19.15
9571-EDEBV,一年合约,在网,光纤,已开通电话,71,98.65
3520-FJGCV,两年合约,在网,光纤,已开通电话,72,112.6
6563-VRERX,一年合约,在网,未开通互联网,已开通电话,33,20.6
0259-GBZSH,月付套餐,已流失,光纤,已开通电话,2,85.65
6122-EFVKN,两年合约,在网,宽带 DSL,未开通电话,24,35.75
2805-EDJPQ,一年合约,在网,光纤,已开通电话,56,99.75
6862-CQUMB,月付套餐,在网,光纤,已开通电话,37,96.1
7156-MXBJE,一年合约,在网,宽带 DSL,已开通电话,43,85.1
6158-HDPXZ,月付套餐,在网,宽带 DSL,未开通电话,1,25.35
9601-BRXPO,月付套餐,已流失,光纤,已开通电话,25,104.95
2863-IMQDR,两年合约,在网,宽带 DSL,已开通电话,61,89.65
5686-CMAWK,一年合约,在网,光纤,已开通电话,17,86.75
5651-CRHKQ,一年合约,在网,光纤,已开通电话,41,86.2
6905-NIQIN,月付套餐,已流失,宽带 DSL,已开通电话,1,50.65
8204-YJCLA,两年合约,在网,宽带 DSL,未开通电话,72,64.8
5167-ZFFMM,月付套餐,已流失,光纤,已开通电话,1,90.85
6583-SZVGP,两年合约,在网,光纤,已开通电话,48,108.1
4895-TMWIR,月付套餐,已流失,未开通互联网,已开通电话,11,19.95
0533-BNWKF,月付套餐,已流失,光纤,已开通电话,55,85.45
1708-PBBOA,一年合约,在网,宽带 DSL,未开通电话,42,54.75
8782-LKFPK,月付套餐,在网,光纤,已开通电话,44,90.4
