"id","title","url","time","source","keyword"
"31","广东松山职业技术学院2025-2026年度教职工体检服务(四次)招标公告（项目编号：0724-2531Z3505838）","http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202512/t20251201_25825161.htm","2025-12-01","中国政府采购网","广东"
"32","广东省零碳园区建设重大工程结果公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202512/t20251201_25823981.htm","2025-12-01","中国政府采购网","广东"
"33","广东药科大学食品科学学院体式显微镜等采购项目（GZSW25156HG4013）结果公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202512/t20251201_25823639.htm","2025-12-01","中国政府采购网","广东"
"34","广东省海洋综合执法总队直属三支队2025年度执法船艇维修保养服务(五次)结果公告","http://www.ccgp.gov.cn/cggg/dfgg/cjgg/202512/t20251201_25823608.htm","2025-12-01","中国政府采购网","广东"
"35","广东药科大学药学院高效液相色谱仪等教学仪器采购项目（0877-25GZTP4ZC0745）中标公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202512/t20251201_25823587.htm","2025-12-01","中国政府采购网","广东"
"36","广东省市场监督管理局财政资金项目管理平台升级改造及业务运营（2025年）项目招标公告","http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202512/t20251201_25823503.htm","2025-12-01","中国政府采购网","广东"
"37","广东职业技术学院现代纺织技术专业群数字生态项目——资源服务器扩容（一期）采购更正公告（第一次）","http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202512/t20251201_25823427.htm","2025-12-01","中国政府采购网","广东"
"38","广东职业技术学院现代纺织技术专业群数字生态项目——网络提速扩容升级招标公告","http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202512/t20251201_25823402.htm","2025-12-01","中国政府采购网","广东"
"39","广东广播电视台8讯道4K超高清XR演播室系统项目结果公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202512/t20251201_25823307.htm","2025-12-01","中国政府采购网","广东"
"40","广东省土地调查规划院5楼和6楼部分区域装修工程竞争性磋商公告","http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202512/t20251201_25823191.htm","2025-12-01","中国政府采购网","广东"
"41","广东医科大学附属医院2025年医疗设备采购项目（二十一）招标公告","http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202512/t20251201_25823184.htm","2025-12-01","中国政府采购网","广东"
"42","广东松山职业技术学院曲江校区物业管理服务项目结果公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202512/t20251201_25823113.htm","2025-12-01","中国政府采购网","广东"
"43","广东省消防救援总队2025年战勤保障装备采购项目（结余资金）（项目编号：0692-2531Z6037685）公开招标公告","http://www.ccgp.gov.cn/cggg/zygg/gkzb/202512/t20251201_25822770.htm","2025-12-01","中国政府采购网","广东"
"44","“广东省畜禽现代种业产业园-畜禽种业高效繁育社会化服务建设项目-高校地方联合育种功能性服务平台建设项目”采购项目(二次)招标公告","http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202512/t20251201_25822944.htm","2025-12-01","中国政府采购网","广东"
"45","2025年广东省城镇燃气供应站等安全专项评估项目竞争性磋商公告","http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202512/t20251201_25822524.htm","2025-12-01","中国政府采购网","广东"
"46","广东省农业农村厅2026-2027年度机关食堂餐饮材料配送服务采购项目结果公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202512/t20251201_25822407.htm","2025-12-01","中国政府采购网","广东"
"47","广东省汕头市中级人民法院食堂外包服务项目结果公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202512/t20251201_25822423.htm","2025-12-01","中国政府采购网","广东"
"48","省市场监管局国家企业信用信息公示系统（广东）及广东省“双随机、一公开”综合监管平台开发、运营及运维服务（2025年）项目公开招标公告","http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202512/t20251201_25822200.htm","2025-12-01","中国政府采购网","广东"
"49","2026年度广东省惠州监狱（广东省广裕集团惠州实业有限公司）服务外包项目结果公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202512/t20251201_25821819.htm","2025-12-01","中国政府采购网","广东"
"50","广东税务2025年金税三期社保费标准版系统本地功能优化和业务运营服务项目招标公告","http://www.ccgp.gov.cn/cggg/zygg/gkzb/202512/t20251201_25821311.htm","2025-12-01","中国政府采购网","广东"
"51","广东省市场监管局粤标准系统开发及运维服务（2025年）招标公告","http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202512/t20251201_25821395.htm","2025-12-01","中国政府采购网","广东"
"52","广东省中医院信息化设备采购项目结果公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202512/t20251201_25821218.htm","2025-12-01","中国政府采购网","广东"
"53","广东省梅州监狱迁建项目配套医院医疗设备购置项目（重招）结果更正公告（第一次）","http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202512/t20251201_25820834.htm","2025-12-01","中国政府采购网","广东"
"54","国家知识产权局专利局专利审查协作广东中心打印租赁服务采购项目中标结果公告","http://www.ccgp.gov.cn/cggg/zygg/zbgg/202512/t20251201_25820638.htm","2025-12-01","中国政府采购网","广东"
"55","广东科学中心饭堂食材配送服务项目结果公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202512/t20251201_25820642.htm","2025-12-01","中国政府采购网","广东"
"56","广东药科大学生科院实验教学设备采购项目结果公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202512/t20251201_25820321.htm","2025-12-01","中国政府采购网","广东"
"57","广东省自然灾害应急能力提升工程预警指挥项目补充建设项目(湛江市)结果公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202512/t20251201_25820316.htm","2025-12-01","中国政府采购网","广东"
"58","广东省海洋综合执法指挥系统基础设施租赁服务（2025年）项目结果公告","http://www.ccgp.gov.cn/cggg/dfgg/cjgg/202512/t20251201_25820169.htm","2025-12-01","中国政府采购网","广东"
"59","广东省机械技师学院南海校区摄影实训设备采购项目招标公告","http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202512/t20251201_25819518.htm","2025-12-01","中国政府采购网","广东"
"60","广东药科大学生科院微生物与细胞培养仪器采购项目结果公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202512/t20251201_25818038.htm","2025-12-01","中国政府采购网","广东"
"61","广东药科大学公卫学院物理病理教学实验设备采购项目结果公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202512/t20251201_25817997.htm","2025-12-01","中国政府采购网","广东"
"62","中国人民政治协商会议广东省委员会办公厅广东政协官网官微及广东文史网运营（2026年）项目采购实行单一来源采购方式的公示","http://www.ccgp.gov.cn/cggg/dfgg/dylygg/202512/t20251201_25817323.htm","2025-12-01","中国政府采购网","广东"
"63","广东省机械技师学院南海校区校园教学综合管理平台项目招标公告","http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202512/t20251201_25816849.htm","2025-12-01","中国政府采购网","广东"
"64","广东省机械技师学院南海校区图书馆设备新增采购项目招标公告","http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202512/t20251201_25816091.htm","2025-12-01","中国政府采购网","广东"
"65","广东省深圳市大鹏新区消防救援大队2025年政府专职消防队员人身意外伤亡保险服务采购项目的遴选公告","http://www.ccgp.gov.cn/cggg/zygg/qtgg/202512/t20251201_25815708.htm","2025-12-01","中国政府采购网","广东"
"66","广东省深圳市光明区消防救援大队2025年战勤保障洗涤中心设备采购项目成交结果公告","http://www.ccgp.gov.cn/cggg/zygg/cjgg/202512/t20251201_25815478.htm","2025-12-01","中国政府采购网","广东"
"67","三峡云平台运维服务设计方案咨询项目中标公示","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202512/t20251201_25824897.htm","2025-12-01","中国政府采购网","云"
"68","深圳市公安局龙岗分局2025年辅警云终端综合通信服务中标公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202512/t20251201_25824731.htm","2025-12-01","中国政府采购网","云"
"69","云之龙咨询集团有限公司关于1.5T医用磁共振成像系统采购（重2）YLZC2025-G1-990334-YZLZ 中标结果公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202512/t20251201_25824342.htm","2025-12-01","中国政府采购网","云"
"70","山西能源学院 2026 年万方数据知识服务云平台续订项目单一来源公示","http://www.ccgp.gov.cn/cggg/dfgg/dylygg/202512/t20251201_25824106.htm","2025-12-01","中国政府采购网","云"
"71","云之龙咨询集团有限公司关于2025 年中央财政林业草原生态保护恢复资金一广西山口红树林国际重要湿地保护与恢复项目-生境修复治理及项目管理成效监测（GXZC2025-C3-003224-YZLZ）更正公告（四）","http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202512/t20251201_25824017.htm","2025-12-01","中国政府采购网","云"
"72","天津市数据发展中心机关 天津市数据发展中心-天津市电子政务外网、一期云等软硬件维保项目 (项目编号:TGPC-2025-D-1136)中标公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202512/t20251201_25823765.htm","2025-12-01","中国政府采购网","云"
"73","云之龙咨询集团有限公司关于区直在邕离休干部智慧应急服务GXZC2025-C3-003712-YZLZ竞争性磋商公告","http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202512/t20251201_25823732.htm","2025-12-01","中国政府采购网","云"
"74","四川省公安厅交通管理总队云哨语音外呼线路租赁服务(二次)招标公告","http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202512/t20251201_25823441.htm","2025-12-01","中国政府采购网","云"
"75","北京科技大学共青团“第二课堂成绩单”网络管理系统云存储产品及服务项目公开招标公告","http://www.ccgp.gov.cn/cggg/zygg/gkzb/202512/t20251201_25823314.htm","2025-12-01","中国政府采购网","云"
"76","云之龙咨询集团有限公司关于龙胜各族自治县人民医院医用织物洗涤服务采购（重）（项目编号：GLZC2025-C3-280069-YZLZ）竞争性磋商公告","http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202512/t20251201_25823215.htm","2025-12-01","中国政府采购网","云"
"77","江津区中医院云桌面服务项目(JJQ25C00088)公开招标公告","http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202512/t20251201_25823203.htm","2025-12-01","中国政府采购网","云"
"78","玉溪教育云平台（数字教育）支撑提升新高考课堂教学过程性评价与智能诊断系统采购项目中标公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202512/t20251201_25823057.htm","2025-12-01","中国政府采购网","云"
"79","大同市云冈区自然资源局竞争性磋商云冈区水资源基础调查项目结果公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202512/t20251201_25823086.htm","2025-12-01","中国政府采购网","云"
"80","云之龙咨询集团有限公司关于平乐镇长旺村稻谷烘干一体化设施项目（设备采购）YLZC2025-J1-220292-YZLZ 的更正公告","http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202512/t20251201_25823031.htm","2025-12-01","中国政府采购网","云"
"81","2026年青云店镇村庄环境提升项目竞争性磋商公告","http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202512/t20251201_25822943.htm","2025-12-01","中国政府采购网","云"
"82","云之龙咨询集团有限公司关于法医病理鉴定、法医临床鉴定、法医毒物鉴定服务采购项目的更正公告","http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202512/t20251201_25822817.htm","2025-12-01","中国政府采购网","云"
"83","云之龙咨询集团有限公司关于扶绥县监管场所2025-2027年在押人员食材配送服务采购的竞争性磋商公告","http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202512/t20251201_25822716.htm","2025-12-01","中国政府采购网","云"
"84","云之龙咨询集团有限公司 广西弄岗国家级自然保护区宣传教育设施设备维护与购置项目(项目编号：CZZC2025-C2-990251-YZLZ) 竞争性磋商公告","http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202512/t20251201_25822690.htm","2025-12-01","中国政府采购网","云"
"85","云之龙咨询集团有限公司关于广西胸科医院中西医协同“旗舰”科室建设及传染病专科示范基地项目（GXZC2025-J2-003716-YZLZ）竞争性谈判公告","http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202512/t20251201_25822680.htm","2025-12-01","中国政府采购网","云"
"86","云州区全区文物保护规划项目竞争性磋商结果公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202512/t20251201_25822670.htm","2025-12-01","中国政府采购网","云"
"87","左云经济技术开发区基础设施建设项目新建工程（经三路、南纬二路支线和南纬一路）林地、草地报批技术咨询服务项目的采购公告","http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202512/t20251201_25822652.htm","2025-12-01","中国政府采购网","云"
"88","2026年度连云区主要道路及游园绿地养护服务（专门面向中小企业）采购公告","http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202512/t20251201_25822400.htm","2025-12-01","中国政府采购网","云"
"89","灌云县2025年度省级水利发展资金水利工程维修养护项目(专门面向中小企业)采购公告","http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202512/t20251201_25822470.htm","2025-12-01","中国政府采购网","云"
"90","云之龙咨询集团有限公司 梧州市心电诊断中心心电图机采购（WZZC2025-G1-990313-YZLZ） 公开招标公告（远程异地评标）","http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202512/t20251201_25822447.htm","2025-12-01","中国政府采购网","云"
"91","花果山大道振云社区段沿街环境整治工程成交公告","http://www.ccgp.gov.cn/cggg/dfgg/cjgg/202512/t20251201_25822422.htm","2025-12-01","中国政府采购网","云"
"92","大城职教中心微机室设备（云桌面）及实训软件采购及安装竞争性谈判公告","http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202512/t20251201_25821889.htm","2025-12-01","中国政府采购网","云"
"93","唐山市第二医院新建骨科大楼云桌面采购项目（双盲评审）废标公告","http://www.ccgp.gov.cn/cggg/dfgg/qtgg/202512/t20251201_25821966.htm","2025-12-01","中国政府采购网","云"
"94","政法系统应用平台（云资源服务）项目单一来源公告","http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202512/t20251201_25821731.htm","2025-12-01","中国政府采购网","云"
"95","国家卫生健康委妇幼健康中心2026年度云服务租赁项目公开招标公告","http://www.ccgp.gov.cn/cggg/zygg/gkzb/202512/t20251201_25821245.htm","2025-12-01","中国政府采购网","云"
"96","赤峰市公共资源交易中心政府采购远程异地评审资料云存储中标（成交）结果公告","http://www.ccgp.gov.cn/cggg/dfgg/cjgg/202512/t20251201_25821258.htm","2025-12-01","中国政府采购网","云"
"97","云之龙咨询集团有限公司广西壮族自治区安全生产资格考试服务采购（GXZC2025-G3-003163-YZLZ）中标公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202512/t20251201_25821060.htm","2025-12-01","中国政府采购网","云"
"98","绵阳市涪城区科学技术协会绵阳市涪城区天府科技云服务中心运营项目竞争性磋商公告","http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202512/t20251201_25821011.htm","2025-12-01","中国政府采购网","云"
"99","［江西省公共资源交易平台］江西合胜合招标咨询有限公司关于江西工业贸易职业技术学院网络安全云防护服务外包项目（项目编号：HSH2025C119）竞争性磋商成交公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202512/t20251201_25820967.htm","2025-12-01","中国政府采购网","云"
"100","云之龙咨询集团有限公司NNZC2025-C3-991372-YZLZ 出租交通行业服务质量第三方考核竞争性磋商公告","http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202512/t20251201_25820861.htm","2025-12-01","中国政府采购网","云"
"101","数字喀斯特时空AI云平台采购项目竞争性谈判公告","http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202512/t20251201_25820846.htm","2025-12-01","中国政府采购网","云"
"102","云之龙咨询集团有限公司关于崇左市人民医院2025空调通风系统及家电维保维修服务采购的更正公告（一）","http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202512/t20251201_25820505.htm","2025-12-01","中国政府采购网","云"
"103","云之龙咨询集团有限公司关于2025年玉林市医保支付方式改革基金结算购买服务YLZC2025-C3-990418-YZLZ成交结果公告","http://www.ccgp.gov.cn/cggg/dfgg/cjgg/202512/t20251201_25820477.htm","2025-12-01","中国政府采购网","云"
"104","甘肃省小陇山林业保护中心云坪林场2024年度森林可持续经营试点示范林建设中标（成交）结果公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202512/t20251201_25820288.htm","2025-12-01","中国政府采购网","云"
"105","中央广播电视总台“央视频”5G新媒体平台公有云服务采购项目中标公告","http://www.ccgp.gov.cn/cggg/zygg/zbgg/202512/t20251201_25820231.htm","2025-12-01","中国政府采购网","云"
"106","中央民族大学数字内容 AI 服务云平台建设竞争性磋商","http://www.ccgp.gov.cn/cggg/zygg/jzxcs/202512/t20251201_25820064.htm","2025-12-01","中国政府采购网","云"
"107","西安建筑科技大学国研网统计数据库、爱如生中国基本古籍库、百链云图书馆、百度文库等数据库采购项目采购实行单一来源采购方式的公示","http://www.ccgp.gov.cn/cggg/dfgg/dylygg/202512/t20251201_25819930.htm","2025-12-01","中国政府采购网","云"
"108","灌云县森林火灾智能监测预警系统提升项目采购公告","http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202512/t20251201_25819837.htm","2025-12-01","中国政府采购网","云"
"109","云之龙咨询集团有限公司梧州职业学院校园网络升级改造设备采购（WZZC2025-J1-990309-YZLZ）成交公告","http://www.ccgp.gov.cn/cggg/dfgg/cjgg/202512/t20251201_25819741.htm","2025-12-01","中国政府采购网","云"
"110","云之龙咨询集团有限公司关于龙胜各族自治县人民医院医用织物洗涤服务采购（GLZC2025-C3-280066-YZLZ）终止公告","http://www.ccgp.gov.cn/cggg/dfgg/qtgg/202512/t20251201_25819761.htm","2025-12-01","中国政府采购网","云"
"111","中国传媒大学中传APP公有云资源租用项目竞争性磋商公告","http://www.ccgp.gov.cn/cggg/zygg/jzxcs/202512/t20251201_25819648.htm","2025-12-01","中国政府采购网","云"
"112","云南业邦招标咨询有限公司关于云县第一完全中学改善普通高中办学条件实验仪器采购项目的更正公告","http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202512/t20251201_25819679.htm","2025-12-01","中国政府采购网","云"
"113","云之龙咨询集团有限公司医院治安管理服务项目（GXZC2025-G3-003447-YZLZ）招标公告","http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202512/t20251201_25819630.htm","2025-12-01","中国政府采购网","云"
"114","2025年商务厅上云业务系统云安全产品项目（二次）公开招标公告","http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202512/t20251201_25819581.htm","2025-12-01","中国政府采购网","云"
"115","太原市小店区人民政府办公室公开招标2026年-2028年区政府网络专线租用服务的采购公告","http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202511/t20251130_25814927.htm","2025-11-30","中国政府采购网","专线"
"116","和顺县电子政务外网（13710专线）网络服务项目的采购公告","http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202511/t20251130_25814880.htm","2025-11-30","中国政府采购网","专线"
"117","广东省农业质量安全检测中心项目仪器设备采购结果公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202511/t20251130_25814890.htm","2025-11-30","中国政府采购网","广东"
"118","黄浦区广东路192-246号上海文物商店房屋修缮改造工程的中标（成交）结果公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202511/t20251129_25811737.htm","2025-11-29","中国政府采购网","广东"
"119","滁州职业技术学院私有云平台项目更正公告2","http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202511/t20251129_25811577.htm","2025-11-29","中国政府采购网","私有云"
"120","市政务服务和数据管理局市电子政务云计算中心租用服务（2025-2026年）项目招标公告","http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202511/t20251128_25818632.htm","2025-11-28","中国政府采购网","政务云"
"121","天津市疾病预防控制中心-天津市传染病监测预警与应急指挥信息平台（一期）政务云资源服务项目 (项目编号:TGPC-2025-D-1275)公开招标公告","http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202511/t20251128_25805363.htm","2025-11-28","中国政府采购网","政务云"
"122","福建省市场监督管理局行政服务中心电子政务云平台资源暨增值云运维服务公开招标招标公告","http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202511/t20251128_25802138.htm","2025-11-28","中国政府采购网","政务云"
"123","2025-2026年度通州区政务云服务-B区公开招标公告","http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202511/t20251128_25801907.htm","2025-11-28","中国政府采购网","政务云"
"124","2025-2026年度通州区政务云服务-A区公开招标公告","http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202511/t20251128_25801906.htm","2025-11-28","中国政府采购网","政务云"
"125","浙江同济工程管理有限公司关于2025（2025-2026）上虞教体局政务云资源租赁项目中标(成交)结果公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202511/t20251128_25801439.htm","2025-11-28","中国政府采购网","政务云"
"126","准格尔旗行政审批政务服务与数据管理局政务云信创升级扩容改造项目中标（成交）结果公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202511/t20251128_25801300.htm","2025-11-28","中国政府采购网","政务云"
"127","通辽市大数据中心通辽政务云服务采购项目招标公告","http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202511/t20251128_25800486.htm","2025-11-28","中国政府采购网","政务云"
"128","北京市医疗保障局大数据中心2025年基于医疗数据的应用场景分析系统政务云服务中标结果公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202511/t20251128_25800340.htm","2025-11-28","中国政府采购网","政务云"
