date,keyword,channel,device,region,page_views,search_count,result_clicks,avg_stay_seconds,bounce_rate
2025-08-03,招投标公告,外部链接,PC,山东,29,6,2,70.6,0.71
2025-08-03,行业报告,站内,PC,广东,37,11,4,86.7,0.51
2025-08-03,中标结果,直接访问,PC,四川,24,7,2,126.1,0.18
2025-08-03,供应商查询,外部链接,PC,江苏,18,4,3,71.2,0.15
2025-08-03,单一来源,直接访问,PC,浙江,20,9,6,82.3,0.6
2025-08-03,中标结果,外部链接,PC,四川,42,10,5,121.7,0.32
2025-08-03,供应商查询,付费推广,PC,山东,23,12,10,154.8,0.3
2025-08-03,行业报告,外部链接,PC,江苏,42,12,6,45.2,0.46
2025-08-03,招投标公告,外部链接,移动端,四川,15,6,4,34.7,0.3
2025-08-03,工程招标,直接访问,移动端,北京,22,3,2,140.2,0.61
2025-08-03,中标结果,付费推广,移动端,四川,22,11,5,94.0,0.53
2025-08-03,投标保证金,外部链接,PC,北京,4,5,3,77.7,0.32
2025-08-03,合同公示,付费推广,PC,湖北,19,8,5,165.3,0.49
2025-08-03,工程招标,外部链接,PC,广东,31,8,3,31.7,0.54
2025-08-03,招投标公告,站内,移动端,上海,21,6,3,84.2,0.35
2025-08-03,行业报告,站内,移动端,北京,17,6,2,58.8,0.66
2025-08-03,投诉处理,外部链接,PC,北京,30,10,7,174.8,0.57
2025-08-03,供应商查询,外部链接,移动端,江苏,41,9,5,38.7,0.57
2025-08-03,评标专家,付费推广,移动端,北京,24,11,8,76.7,0.26
2025-08-03,采购信息,付费推广,PC,浙江,30,3,1,145.7,0.45
2025-08-03,政策解读,站内,PC,四川,20,10,4,44.3,0.65
2025-08-03,框架协议,站内,PC,山东,14,1,0,116.9,0.6
2025-08-03,电子招投标,直接访问,PC,山东,22,4,2,142.6,0.62
2025-08-03,中标公示,直接访问,PC,浙江,13,10,4,121.9,0.67
2025-08-04,招标代理,站内,PC,北京,10,5,1,90.8,0.46
2025-08-04,废标公告,直接访问,移动端,山东,21,6,5,82.2,0.37
2025-08-04,供应商查询,直接访问,PC,四川,28,2,1,41.7,0.17
2025-08-04,企业资质,外部链接,移动端,山东,5,8,5,59.5,0.65
2025-08-04,行业动态,站内,PC,北京,3,5,2,56.6,0.53
2025-08-04,评标结果,直接访问,移动端,山东,34,10,6,41.3,0.41
2025-08-04,资格预审,直接访问,PC,北京,38,9,8,103.2,0.45
2025-08-04,法律法规,外部链接,PC,山东,8,1,0,139.1,0.36
2025-08-04,招投标公告,直接访问,移动端,北京,25,10,7,25.2,0.48
2025-08-04,开标记录,直接访问,移动端,山东,39,12,7,39.8,0.58
2025-08-04,评标专家,直接访问,PC,浙江,16,1,0,82.5,0.64
2025-08-04,中标公示,直接访问,移动端,江苏,32,6,5,124.2,0.31
2025-08-04,投标保证金,直接访问,PC,山东,21,7,3,130.1,0.37
2025-08-04,投标保证金,直接访问,PC,湖北,19,2,1,65.6,0.21
2025-08-04,招标文件,直接访问,PC,湖北,20,3,2,24.9,0.67
2025-08-04,供应商查询,付费推广,PC,广东,15,2,1,101.1,0.6
2025-08-04,工程招标,直接访问,移动端,山东,24,1,0,122.5,0.37
2025-08-04,评标专家,直接访问,PC,山东,21,6,3,40.3,0.37
2025-08-04,招标文件,直接访问,移动端,广东,49,12,5,109.0,0.31
2025-08-04,采购信息,直接访问,移动端,江苏,46,12,10,37.9,0.66
2025-08-04,中标结果,站内,PC,北京,48,11,9,74.3,0.19
2025-08-04,政策解读,站内,移动端,上海,9,6,3,146.3,0.29
2025-08-04,中标公示,直接访问,移动端,山东,5,9,3,68.1,0.75
2025-08-04,竞争性谈判,外部链接,移动端,北京,16,3,2,93.5,0.46
2025-08-04,工程招标,站内,移动端,上海,27,3,1,38.1,0.24
2025-08-04,工程招标,直接访问,移动端,四川,15,9,7,49.8,0.72
2025-08-04,采购信息,外部链接,移动端,北京,17,9,6,124.7,0.58
2025-08-04,资格预审,站内,移动端,广东,20,2,0,52.2,0.49
2025-08-04,资格预审,直接访问,移动端,江苏,43,11,9,148.4,0.56
2025-08-04,招标文件,直接访问,PC,山东,18,7,4,116.3,0.34
2025-08-04,竞争性谈判,站内,移动端,湖北,12,3,2,57.2,0.22
2025-08-04,中标结果,直接访问,PC,湖北,36,10,5,71.0,0.5
2025-08-04,招标文件,站内,PC,山东,24,8,6,32.6,0.39
2025-08-04,中标公示,直接访问,移动端,广东,9,1,0,104.9,0.66
2025-08-04,中标结果,站内,移动端,湖北,20,6,2,109.0,0.37
2025-08-04,招标文件,直接访问,PC,江苏,11,10,7,176.0,0.39
2025-08-04,投标保证金,直接访问,移动端,上海,24,4,2,24.5,0.17
2025-08-04,询价公告,站内,PC,上海,26,10,8,168.9,0.34
2025-08-04,供应商查询,外部链接,移动端,四川,50,9,7,109.2,0.43
2025-08-04,招投标公告,直接访问,PC,湖北,24,10,5,94.9,0.73
2025-08-04,电子招投标,站内,移动端,广东,28,10,6,151.1,0.3
2025-08-04,行业报告,站内,PC,山东,34,6,3,51.0,0.45
2025-08-04,资格预审,外部链接,移动端,广东,27,12,5,70.7,0.55
2025-08-04,政策解读,直接访问,PC,四川,31,9,4,96.4,0.72
2025-08-04,采购信息,直接访问,移动端,江苏,22,5,3,95.7,0.49
2025-08-04,招标代理,站内,PC,湖北,19,7,5,24.8,0.72
2025-08-04,招投标公告,付费推广,移动端,山东,32,4,1,109.0,0.31
2025-08-04,招投标公告,站内,PC,广东,38,11,9,55.7,0.21
2025-08-04,招标文件,外部链接,移动端,上海,13,1,0,123.8,0.68
2025-08-04,中标公示,外部链接,移动端,江苏,32,6,3,142.5,0.54
2025-08-04,采购信息,站内,移动端,广东,31,3,1,167.0,0.75
2025-08-04,供应商查询,外部链接,移动端,江苏,29,1,0,177.2,0.32
2025-08-05,行业动态,外部链接,移动端,山东,12,5,2,44.3,0.43
2025-08-05,采购信息,直接访问,移动端,江苏,19,10,7,117.0,0.53
2025-08-05,供应商查询,直接访问,PC,湖北,23,11,4,70.4,0.3
2025-08-05,采购信息,直接访问,移动端,四川,11,5,3,123.9,0.57
2025-08-05,招投标公告,直接访问,PC,湖北,43,11,7,37.0,0.7
2025-08-05,招标文件,外部链接,PC,上海,22,8,3,131.7,0.7
2025-08-05,框架协议,站内,移动端,浙江,24,11,8,90.4,0.57
2025-08-05,招投标公告,外部链接,PC,浙江,22,10,6,156.4,0.42
2025-08-05,政府采购,站内,PC,山东,14,1,0,109.4,0.49
2025-08-05,项目立项,直接访问,PC,江苏,1,1,0,86.6,0.57
2025-08-05,政策解读,直接访问,移动端,山东,24,1,0,39.9,0.53
2025-08-05,竞争性谈判,付费推广,PC,湖北,36,8,6,31.0,0.73
2025-08-05,履约信息,直接访问,移动端,北京,24,3,2,38.6,0.74
2025-08-05,废标公告,站内,移动端,山东,49,11,8,79.4,0.29
2025-08-05,中标公示,直接访问,PC,北京,19,1,0,142.1,0.68
2025-08-05,招投标公告,直接访问,PC,广东,12,8,5,138.0,0.39
2025-08-05,采购信息,直接访问,移动端,广东,10,3,1,150.2,0.59
2025-08-05,招标文件,外部链接,移动端,四川,25,4,2,102.4,0.4
2025-08-05,采购信息,外部链接,移动端,上海,33,11,8,175.5,0.71
2025-08-05,项目立项,站内,PC,湖北,17,7,3,140.2,0.43
2025-08-05,更正公告,直接访问,移动端,山东,17,1,0,103.9,0.38
2025-08-05,采购信息,直接访问,PC,山东,5,6,2,61.5,0.55
2025-08-05,资格预审,站内,PC,浙江,18,8,3,173.0,0.16
2025-08-05,招标代理,付费推广,PC,山东,16,4,2,166.3,0.48
2025-08-05,电子招投标,直接访问,PC,四川,22,5,2,34.0,0.74
2025-08-05,中标公示,站内,移动端,四川,29,6,3,41.6,0.31
2025-08-05,招标代理,外部链接,PC,上海,26,4,2,153.0,0.45
2025-08-05,合同公示,外部链接,PC,山东,46,12,8,45.3,0.63
2025-08-05,工程招标,站内,PC,广东,33,9,3,150.5,0.18
2025-08-05,招投标公告,直接访问,移动端,北京,26,12,5,91.9,0.19
2025-08-05,评标结果,付费推广,移动端,山东,0,1,0,20.7,0.58
2025-08-05,政策解读,直接访问,PC,湖北,17,3,1,42.1,0.27
2025-08-05,政策解读,站内,PC,湖北,18,2,1,109.5,0.74
2025-08-05,采购信息,外部链接,移动端,广东,21,2,1,95.1,0.53
2025-08-05,询价公告,直接访问,移动端,四川,37,10,9,103.6,0.18
2025-08-05,采购信息,站内,移动端,山东,22,5,1,167.9,0.69
2025-08-05,行业动态,直接访问,移动端,四川,24,1,0,151.0,0.64
2025-08-05,招标代理,直接访问,移动端,湖北,39,11,9,140.4,0.23
2025-08-05,法律法规,站内,PC,四川,26,1,0,30.3,0.51
2025-08-05,资格预审,外部链接,移动端,四川,15,1,0,55.0,0.48
2025-08-05,供应商查询,直接访问,移动端,湖北,28,2,1,57.9,0.19
2025-08-05,采购信息,直接访问,移动端,上海,21,12,6,32.8,0.72
2025-08-05,中标结果,站内,PC,北京,7,3,1,22.3,0.36
2025-08-05,招投标公告,外部链接,PC,湖北,24,1,0,31.7,0.69
2025-08-05,企业资质,付费推广,移动端,上海,20,11,6,66.8,0.45
2025-08-05,招投标公告,直接访问,PC,山东,25,2,1,119.3,0.51
2025-08-05,工程招标,直接访问,PC,湖北,41,6,4,157.7,0.41
2025-08-05,中标结果,站内,移动端,上海,19,5,2,68.9,0.73
2025-08-05,投诉处理,直接访问,移动端,山东,33,10,7,63.4,0.62
2025-08-05,供应商查询,付费推广,PC,上海,38,11,8,135.8,0.72
2025-08-05,采购信息,站内,移动端,北京,30,7,5,67.1,0.3
2025-08-05,工程招标,直接访问,PC,山东,41,10,6,100.1,0.7
2025-08-05,政府采购,外部链接,移动端,四川,13,12,10,142.6,0.54
2025-08-05,供应商查询,外部链接,PC,湖北,23,6,5,19.7,0.31
2025-08-05,政策解读,外部链接,移动端,浙江,40,8,4,128.1,0.56
2025-08-06,招标文件,直接访问,PC,湖北,11,2,0,68.5,0.42
2025-08-06,工程招标,外部链接,PC,山东,26,12,8,66.6,0.64
2025-08-06,工程招标,站内,移动端,上海,27,12,5,43.9,0.49
2025-08-06,评标专家,直接访问,PC,上海,20,3,2,22.7,0.52
2025-08-06,工程招标,外部链接,PC,浙江,20,4,2,34.5,0.67
2025-08-06,工程招标,直接访问,PC,江苏,46,11,9,81.0,0.39
2025-08-06,招投标公告,直接访问,PC,上海,53,11,8,117.5,0.2
2025-08-06,工程招标,直接访问,PC,上海,29,6,4,114.6,0.49
2025-08-06,中标结果,外部链接,PC,上海,16,9,4,48.3,0.66
2025-08-06,评标结果,站内,移动端,山东,34,3,1,109.0,0.54
2025-08-06,供应商查询,外部链接,移动端,山东,28,8,3,141.3,0.33
2025-08-06,采购信息,外部链接,PC,山东,45,10,7,100.8,0.49
2025-08-06,采购信息,外部链接,移动端,广东,27,12,7,34.6,0.65
2025-08-06,单一来源,直接访问,移动端,山东,16,5,2,158.2,0.22
2025-08-06,开标记录,直接访问,移动端,四川,37,12,8,117.8,0.62
2025-08-06,开标记录,站内,移动端,江苏,40,10,6,65.4,0.49
2025-08-06,评标专家,外部链接,移动端,北京,37,3,2,27.6,0.32
2025-08-06,合同公示,站内,PC,上海,36,12,6,154.7,0.39
2025-08-06,工程招标,外部链接,移动端,湖北,15,8,3,101.5,0.32
2025-08-06,招标代理,直接访问,移动端,四川,26,10,3,175.5,0.53
2025-08-06,询价公告,站内,移动端,湖北,21,4,3,61.5,0.65
2025-08-06,招标文件,外部链接,移动端,山东,6,6,5,34.1,0.62
2025-08-06,中标公示,直接访问,移动端,山东,14,8,2,179.3,0.7
2025-08-06,履约信息,直接访问,移动端,江苏,5,2,1,78.2,0.69
2025-08-06,工程招标,直接访问,PC,浙江,5,7,5,52.6,0.2
2025-08-06,行业报告,外部链接,PC,广东,33,12,6,86.4,0.23
2025-08-06,招投标公告,直接访问,移动端,北京,7,2,1,80.0,0.64
2025-08-06,履约信息,外部链接,移动端,北京,26,9,6,74.9,0.28
2025-08-06,单一来源,付费推广,移动端,山东,5,4,1,139.9,0.5
2025-08-06,供应商查询,付费推广,PC,上海,9,4,2,107.7,0.51
2025-08-06,资格预审,站内,移动端,江苏,27,4,2,81.5,0.54
2025-08-06,电子招投标,站内,PC,湖北,16,2,0,162.0,0.16
2025-08-06,供应商查询,直接访问,PC,湖北,30,6,3,94.3,0.74
2025-08-06,招投标公告,外部链接,PC,浙江,16,1,0,64.4,0.58
2025-08-06,框架协议,直接访问,PC,上海,17,5,1,167.2,0.73
2025-08-06,工程招标,直接访问,移动端,北京,7,5,3,57.6,0.7
2025-08-06,工程招标,外部链接,PC,上海,22,2,0,19.8,0.45
2025-08-06,招标文件,外部链接,移动端,江苏,26,3,1,161.6,0.61
2025-08-06,招投标公告,站内,PC,北京,18,5,3,91.7,0.37
2025-08-07,更正公告,直接访问,PC,北京,14,10,7,138.0,0.15
2025-08-07,更正公告,直接访问,PC,四川,41,7,6,173.6,0.17
2025-08-07,投标保证金,站内,移动端,浙江,14,6,2,151.8,0.49
2025-08-07,工程招标,外部链接,PC,浙江,34,9,8,160.1,0.67
2025-08-07,电子招投标,直接访问,PC,山东,18,1,0,145.1,0.59
2025-08-07,采购信息,直接访问,移动端,浙江,24,12,10,19.0,0.4
2025-08-07,采购信息,直接访问,移动端,广东,35,6,2,137.6,0.33
2025-08-07,工程招标,付费推广,PC,广东,3,3,2,167.2,0.69
2025-08-07,政策解读,站内,PC,北京,28,10,4,150.8,0.19
2025-08-07,行业动态,直接访问,移动端,浙江,35,5,2,147.7,0.57
2025-08-07,单一来源,直接访问,PC,北京,5,4,1,35.1,0.42
2025-08-07,招标文件,直接访问,PC,浙江,39,8,4,37.4,0.24
2025-08-07,政府采购,站内,移动端,广东,13,4,3,32.8,0.3
2025-08-07,供应商查询,外部链接,移动端,江苏,31,3,1,91.3,0.6
2025-08-07,采购信息,外部链接,移动端,上海,4,2,0,50.1,0.39
2025-08-07,政府采购,付费推广,PC,江苏,6,2,0,164.2,0.42
2025-08-07,工程招标,付费推广,移动端,四川,1,2,0,45.2,0.49
2025-08-07,开标记录,直接访问,PC,湖北,10,3,1,63.3,0.68
2025-08-07,招投标公告,外部链接,PC,江苏,17,8,4,32.2,0.38
2025-08-07,中标结果,外部链接,移动端,浙江,22,11,10,144.7,0.37
2025-08-07,行业动态,外部链接,移动端,四川,13,7,3,114.7,0.17
2025-08-07,开标记录,直接访问,移动端,山东,13,9,4,34.2,0.54
2025-08-07,采购信息,站内,移动端,广东,19,4,2,169.5,0.74
2025-08-07,工程招标,直接访问,PC,四川,39,10,3,110.0,0.24
2025-08-07,评标专家,站内,移动端,山东,17,9,4,32.6,0.29
2025-08-07,采购信息,外部链接,PC,浙江,31,3,1,148.0,0.67
2025-08-07,招投标公告,直接访问,移动端,上海,33,2,1,29.8,0.57
2025-08-07,项目立项,外部链接,PC,四川,33,3,2,121.6,0.44
2025-08-07,招标文件,站内,移动端,四川,16,4,2,67.7,0.56
2025-08-07,工程招标,站内,移动端,湖北,38,10,3,149.0,0.52
2025-08-07,合同公示,直接访问,PC,四川,22,12,4,45.2,0.68
2025-08-07,招投标公告,站内,移动端,四川,11,8,2,130.3,0.36
2025-08-07,电子招投标,站内,PC,山东,42,12,7,85.1,0.68
2025-08-07,招标文件,直接访问,移动端,浙江,10,3,1,21.3,0.31
2025-08-07,招投标公告,直接访问,移动端,上海,14,12,4,114.2,0.52
2025-08-07,中标公示,直接访问,移动端,上海,17,10,8,34.4,0.27
2025-08-07,工程招标,外部链接,移动端,江苏,13,11,5,26.0,0.49
2025-08-07,废标公告,直接访问,PC,湖北,10,2,1,33.7,0.27
2025-08-07,合同公示,付费推广,PC,北京,27,5,3,163.0,0.31
2025-08-07,合同公示,直接访问,PC,湖北,10,6,2,89.2,0.31
2025-08-07,废标公告,外部链接,PC,北京,28,2,1,113.5,0.48
2025-08-07,废标公告,站内,PC,山东,41,10,8,30.8,0.69
2025-08-07,竞争性谈判,外部链接,移动端,上海,9,2,1,171.7,0.25
2025-08-07,采购信息,直接访问,PC,北京,38,11,6,114.4,0.34
2025-08-07,竞争性谈判,站内,PC,湖北,28,9,4,92.2,0.67
2025-08-07,电子招投标,外部链接,PC,湖北,20,2,1,113.2,0.61
2025-08-07,招标代理,付费推广,移动端,北京,40,5,4,84.6,0.38
2025-08-07,中标公示,外部链接,PC,江苏,13,7,3,82.1,0.68
2025-08-07,政府采购,直接访问,PC,江苏,15,6,2,63.4,0.44
2025-08-07,询价公告,直接访问,移动端,上海,40,5,4,151.8,0.31
2025-08-08,资格预审,直接访问,PC,湖北,47,12,7,27.1,0.62
2025-08-08,招投标公告,站内,PC,广东,28,3,1,27.3,0.17
2025-08-08,招投标公告,直接访问,PC,四川,26,8,5,23.0,0.37
2025-08-08,行业报告,直接访问,移动端,四川,29,6,2,152.6,0.2
2025-08-08,招投标公告,直接访问,移动端,浙江,12,4,2,123.6,0.46
2025-08-08,更正公告,付费推广,移动端,山东,9,3,2,58.9,0.63
2025-08-08,招标文件,付费推广,移动端,湖北,28,7,5,53.3,0.33
2025-08-08,政策解读,外部链接,移动端,广东,41,9,8,122.9,0.52
2025-08-08,招标文件,直接访问,PC,江苏,23,11,5,124.3,0.72
2025-08-08,合同公示,直接访问,PC,浙江,21,1,0,69.8,0.23
2025-08-08,招投标公告,外部链接,PC,湖北,21,7,3,132.7,0.49
2025-08-08,工程招标,站内,PC,山东,45,11,6,45.5,0.54
2025-08-08,行业动态,直接访问,PC,江苏,48,12,9,128.1,0.35
2025-08-08,招投标公告,直接访问,移动端,江苏,26,7,5,60.2,0.33
2025-08-08,更正公告,外部链接,移动端,北京,33,8,6,128.3,0.47
2025-08-08,中标结果,站内,PC,浙江,16,6,3,69.3,0.58
2025-08-08,电子招投标,外部链接,移动端,上海,18,6,4,62.3,0.61
2025-08-08,工程招标,站内,PC,北京,20,3,2,87.5,0.44
2025-08-08,招投标公告,外部链接,移动端,广东,8,6,4,127.6,0.53
2025-08-08,采购信息,外部链接,PC,上海,8,2,1,28.6,0.18
2025-08-08,评标专家,外部链接,PC,四川,20,7,5,179.4,0.44
2025-08-08,单一来源,直接访问,移动端,湖北,6,1,0,136.9,0.5
2025-08-08,工程招标,直接访问,移动端,广东,39,7,5,104.6,0.18
2025-08-08,法律法规,外部链接,移动端,广东,14,1,0,79.6,0.48
2025-08-08,中标公示,直接访问,移动端,广东,23,5,2,102.3,0.52
